action,numVisits,totalReward
g1h3,1,0
g1f3,1,0
b1c3,1,0
b1a3,1,0
h2h3,1,0
g2g3,1,0
f2f3,1,0
e2e3,1,0
d2d3,1,0
c2c3,1,0
b2b3,1,0
a2a3,1,0
h2h4,1,0
g2g4,1,0
f2f4,1,1
e2e4,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,0
d7d6,1,0
c7c6,1,0
b7b6,1,0
a7a6,1,0
h7h5,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,1
h7h6,1,0
g7g6,1,-1
f7f6,1,0
e7e6,1,0
d7d6,1,1
c7c6,1,0
b7b6,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,-1
b8a6,1,-1
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,-1
d7d6,1,0
c7c6,1,-1
b7b6,1,0
a7a6,1,0
h7h5,1,0
g7g5,1,0
f7f5,1,0
e7e5,1,0
d7d5,1,0
c7c5,1,0
b7b5,1,0
a7a5,1,0
g8h6,1,0
g8f6,1,-1
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,1
d7d6,1,0
c7c6,1,0
b7b6,1,0
a7a6,1,-1
h7h5,1,0
g7g5,1,0
f7f5,1,0
e7e5,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,-1
f7f6,1,-1
e7e6,1,0
d7d6,1,0
c7c6,1,0
b7b6,1,0
a7a6,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,-1
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,0
d7d6,1,0
c7c6,1,0
b7b6,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,1
d7d6,1,0
c7c6,1,0
b7b6,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,-1
f7f6,1,0
e7e6,1,0
d7d6,1,0
c7c6,1,0
b7b6,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,0
d7d6,1,0
c7c6,1,0
b7b6,1,0
a7a6,1,-1
h7h5,1,0
g7g5,1,0
g8h6,1,1
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,1
f7f6,1,0
e7e6,1,0
d7d6,1,0
c7c6,1,1
b7b6,1,0
a7a6,1,0
h7h5,1,0
g7g5,1,-1
f7f5,1,1
e7e5,1,1
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,1
f7f6,1,0
e7e6,1,1
d7d6,1,1
c7c6,1,0
b7b6,1,0
a7a6,1,0
h7h5,1,0
g7g5,1,-1
f7f5,1,0
e7e5,1,0
d7d5,1,0
c7c5,1,0
g8h6,1,1
g8f6,1,0
b8c6,1,1
b8a6,1,-1
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,0
d7d6,1,0
c7c6,1,0
b7b6,1,0
a7a6,1,0
h7h5,1,0
g7g5,1,0
g8h6,1,1
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,0
d7d6,1,-1
c7c6,1,0
b7b6,1,0
a7a6,1,0
h7h5,1,0
g7g5,1,0
f7f5,1,0
e7e5,1,-1
d7d5,1,0
c7c5,1,0
b7b5,1,0
a7a5,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,-1
d7d6,1,0
c7c6,1,0
b7b6,1,0
a7a6,1,0
h7h5,1,0
g7g5,1,-1
f7f5,1,0
e7e5,1,0
d7d5,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,0
b8a6,1,0
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,0
d7d6,1,1
c7c6,1,0
b7b6,1,-1
a7a6,1,-1
h7h5,1,0
g7g5,1,0
f7f5,1,0
e7e5,1,0
d7d5,1,0
g8h6,1,0
g8f6,1,0
b8c6,1,1
b8a6,1,0
h7h6,1,0
g7g6,1,0
f7f6,1,0
e7e6,1,0
d7d6,1,1
c7c6,1,1
b7b6,1,1
a7a6,1,0
h7h5,1,0
g7g5,1,0
f7f5,1,0
e7e5,1,0
d7d5,1,0
c7c5,1,0
b7b5,1,1
a7a5,1,0
